	wavelength	counts
666	477.790472	140.0
667	478.146237	131.0
668	478.501963	149.0
669	478.85765	132.0
670	479.213299	132.0
671	479.568909	129.0
672	479.924481	133.0
673	480.280014	132.0
674	480.635508	138.0
675	480.990964	135.0
676	481.346381	137.0
677	481.70176	130.0
678	482.057099	133.0
679	482.4124	128.0
680	482.767663	130.0
681	483.122886	128.0
682	483.478071	136.0
683	483.833218	140.0
684	484.188325	135.0
685	484.543394	141.0
686	484.898424	135.0
687	485.253415	134.0
688	485.608367	129.0
689	485.963281	132.0
690	486.318156	131.0
691	486.672992	132.0
692	487.027789	130.0
693	487.382548	129.0
694	487.737267	131.0
695	488.091948	134.0
696	488.44659	153.0
697	488.801193	139.0
698	489.155758	136.0
699	489.510283	144.0
700	489.864769	134.0
701	490.219217	168.0
702	490.573626	140.0
703	490.927995	135.0
704	491.282326	133.0
705	491.636618	136.0
706	491.990871	133.0
707	492.345085	139.0
708	492.699261	143.0
709	493.053397	132.0
710	493.407494	131.0
711	493.761552	138.0
712	494.115571	137.0
713	494.469552	140.0
714	494.823493	138.0
715	495.177395	137.0
716	495.531258	139.0
717	495.885082	139.0
718	496.238867	136.0
719	496.592613	133.0
720	496.94632	136.0
721	497.299988	137.0
722	497.653617	140.0
723	498.007207	142.0
724	498.360757	143.0
725	498.714269	137.0
726	499.067741	142.0
727	499.421174	136.0
728	499.774569	136.0
729	500.127924	135.0
730	500.481239	133.0
731	500.834516	140.0
732	501.187754	139.0
733	501.540952	134.0
734	501.894111	139.0
735	502.247231	147.0
736	502.600312	141.0
737	502.953353	134.0
738	503.306355	136.0
739	503.659318	143.0
740	504.012242	166.0
741	504.365126	141.0
742	504.717972	144.0
743	505.070778	140.0
744	505.423544	138.0
745	505.776272	139.0
746	506.12896	146.0
747	506.481609	134.0
748	506.834218	141.0
749	507.186788	179.0
750	507.539319	147.0
751	507.89181	136.0
752	508.244262	139.0
753	508.596675	137.0
754	508.949048	172.0
755	509.301382	146.0
756	509.653677	144.0
757	510.005932	138.0
758	510.358148	143.0
759	510.710324	161.0
760	511.062461	144.0
761	511.414558	147.0
762	511.766616	140.0
763	512.118635	145.0
764	512.470614	149.0
765	512.822554	152.0
766	513.174454	174.0
767	513.526314	142.0
768	513.878135	135.0
769	514.229917	138.0
770	514.581659	140.0
771	514.933362	140.0
772	515.285025	147.0
773	515.636648	136.0
774	515.988232	140.0
775	516.339776	143.0
776	516.691281	143.0
777	517.042746	139.0
778	517.394172	139.0
779	517.745558	136.0
780	518.096904	155.0
781	518.448211	147.0
782	518.799478	140.0
783	519.150705	139.0
784	519.501893	152.0
785	519.853041	144.0
786	520.20415	154.0
787	520.555218	142.0
788	520.906247	146.0
789	521.257237	144.0
790	521.608186	153.0
791	521.959096	173.0
792	522.309967	144.0
793	522.660797	138.0
794	523.011588	141.0
795	523.362339	143.0
796	523.71305	145.0
797	524.063722	142.0
798	524.414353	142.0
799	524.764945	145.0
800	525.115497	141.0
801	525.46601	143.0
802	525.816482	142.0
803	526.166915	143.0
804	526.517308	147.0
805	526.867661	140.0
806	527.217974	140.0
807	527.568247	144.0
808	527.91848	146.0
809	528.268674	144.0
810	528.618828	147.0
811	528.968941	146.0
812	529.319015	145.0
813	529.669049	150.0
814	530.019043	148.0
815	530.368997	145.0
816	530.718911	142.0
817	531.068785	145.0
818	531.418619	139.0
819	531.768414	138.0
820	532.118168	141.0
821	532.467882	139.0
822	532.817556	141.0
823	533.16719	147.0
824	533.516785	145.0
825	533.866339	145.0
826	534.215853	139.0
827	534.565327	143.0
828	534.914761	146.0
829	535.264155	144.0
830	535.613509	141.0
831	535.962823	150.0
832	536.312096	140.0
833	536.66133	145.0
834	537.010523	146.0
835	537.359677	148.0
836	537.70879	143.0
837	538.057863	145.0
838	538.406896	142.0
839	538.755889	145.0
840	539.104842	175.0
841	539.453754	181.0
842	539.802626	149.0
843	540.151458	145.0
844	540.50025	145.0
845	540.849002	155.0
846	541.197713	149.0
847	541.546385	147.0
848	541.895016	149.0
849	542.243606	147.0
850	542.592157	146.0
851	542.940667	147.0
852	543.289137	144.0
853	543.637567	164.0
854	543.985956	147.0
855	544.334305	150.0
856	544.682614	149.0
857	545.030882	147.0
858	545.37911	153.0
859	545.727298	154.0
860	546.075446	148.0
861	546.423553	170.0
862	546.771619	177.0
863	547.119646	150.0
864	547.467631	151.0
865	547.815577	150.0
866	548.163482	153.0
867	548.511347	147.0
868	548.859171	146.0
869	549.206955	147.0
870	549.554698	144.0
871	549.902401	148.0
872	550.250064	148.0
873	550.597686	148.0
874	550.945267	146.0
875	551.292808	148.0
876	551.640309	144.0
877	551.987769	153.0
878	552.335189	148.0
879	552.682568	158.0
880	553.029906	149.0
881	553.377204	157.0
882	553.724461	152.0
883	554.071678	144.0
884	554.418854	157.0
885	554.76599	146.0
886	555.113085	156.0
887	555.46014	146.0
888	555.807154	146.0
889	556.154127	150.0
890	556.50106	145.0
891	556.847952	158.0
892	557.194803	147.0
893	557.541614	148.0
894	557.888384	145.0
895	558.235113	145.0
896	558.581802	151.0
897	558.92845	152.0
898	559.275057	149.0
899	559.621624	145.0
900	559.96815	144.0
901	560.314635	170.0
902	560.661079	151.0
903	561.007483	150.0
904	561.353846	148.0
905	561.700168	152.0
906	562.046449	151.0
907	562.39269	152.0
908	562.73889	154.0
909	563.085049	149.0
910	563.431167	152.0
911	563.777245	145.0
912	564.123281	158.0
913	564.469277	152.0
914	564.815232	148.0
915	565.161146	143.0
916	565.507019	148.0
917	565.852851	153.0
918	566.198643	155.0
919	566.544393	159.0
920	566.890103	152.0
921	567.235772	148.0
922	567.581399	152.0
923	567.926986	146.0
924	568.272532	155.0
925	568.618037	155.0
926	568.963501	148.0
927	569.308924	146.0
928	569.654306	148.0
929	569.999647	150.0
930	570.344948	145.0
931	570.690207	153.0
932	571.035425	151.0
933	571.380602	147.0
934	571.725738	152.0
